images,date,shoot,frame,bbox_loc,miss_or_broken
frame_02-01-2024_SHOT0001_0.jpg,02-01-2024,SHOT0001,0,"[[15.728352546691895, 941.8878784179688, 76.94307708740234, 1006.8377685546875]]",miss
frame_02-01-2024_SHOT0001_141.jpg,02-01-2024,SHOT0001,141,"[[1060.4736328125, 479.21099853515625, 1109.1966552734375, 531.12939453125]]",miss
frame_02-01-2024_SHOT0001_47.jpg,02-01-2024,SHOT0001,47,"[[931.1333618164062, 172.3937530517578, 986.4854736328125, 233.56817626953125]]",miss
frame_02-01-2024_SHOT0001_94.jpg,02-01-2024,SHOT0001,94,"[[1143.1405029296875, 732.2703857421875, 1188.9566650390625, 781.283203125]]",miss
frame_02-01-2024_SHOT0002_0.jpg,02-01-2024,SHOT0002,0,[],broken
frame_02-01-2024_SHOT0002_141.jpg,02-01-2024,SHOT0002,141,[],broken
frame_02-01-2024_SHOT0002_47.jpg,02-01-2024,SHOT0002,47,"[[1657.236572265625, 619.6090087890625, 1725.062255859375, 690.7761840820312]]",miss
frame_02-01-2024_SHOT0002_94.jpg,02-01-2024,SHOT0002,94,"[[1074.7099609375, 543.5104370117188, 1131.49462890625, 606.5537109375]]",miss
frame_02-01-2024_SHOT0003_0.jpg,02-01-2024,SHOT0003,0,[],broken
frame_02-01-2024_SHOT0003_141.jpg,02-01-2024,SHOT0003,141,"[[1056.1876220703125, 680.3843994140625, 1100.8712158203125, 727.1290283203125]]",miss
frame_02-01-2024_SHOT0003_188.jpg,02-01-2024,SHOT0003,188,"[[2257.544921875, 837.4314575195312, 2298.550048828125, 879.9036865234375]]",miss
frame_02-01-2024_SHOT0003_47.jpg,02-01-2024,SHOT0003,47,"[[1466.4666748046875, 496.4763488769531, 1545.3231201171875, 579.96728515625]]",miss
frame_02-01-2024_SHOT0003_94.jpg,02-01-2024,SHOT0003,94,"[[1107.6866455078125, 543.0911865234375, 1169.070068359375, 612.0567626953125]]",miss
